timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674561168214,7433,BGCA home page,200,OK,BGCA Thread Group 1-14,text,false,"The operation lasted too long: It took 7,433 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,10,10,https://www.bgca.org/,6679,0,841
1674561167712,7956,BGCA home page,200,OK,BGCA Thread Group 1-10,text,false,"The operation lasted too long: It took 7,956 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,10,10,https://www.bgca.org/,7185,0,816
1674561166893,8850,BGCA home page,200,OK,BGCA Thread Group 1-4,text,false,"The operation lasted too long: It took 8,850 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,10,10,https://www.bgca.org/,8357,0,1545
1674561168084,7944,BGCA home page,200,OK,BGCA Thread Group 1-13,text,false,"The operation lasted too long: It took 7,944 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,10,10,https://www.bgca.org/,7178,0,853
1674561167953,8091,BGCA home page,200,OK,BGCA Thread Group 1-12,text,false,"The operation lasted too long: It took 8,091 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,10,10,https://www.bgca.org/,7309,0,823
1674561166762,9304,BGCA home page,200,OK,BGCA Thread Group 1-3,text,false,"The operation lasted too long: It took 9,304 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,10,10,https://www.bgca.org/,8506,0,1614
1674561175757,3964,About Us,200,OK,BGCA Thread Group 1-4,text,false,"The operation lasted too long: It took 3,964 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96339,422,10,10,https://www.bgca.org/about-us,3720,0,0
1674561175686,4068,About Us,200,OK,BGCA Thread Group 1-14,text,false,"The operation lasted too long: It took 4,068 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96339,422,9,9,https://www.bgca.org/about-us,3806,0,0
1674561176098,3669,About Us,200,OK,BGCA Thread Group 1-12,text,false,"The operation lasted too long: It took 3,669 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96339,422,9,9,https://www.bgca.org/about-us,3391,0,0
1674561175695,4085,About Us,200,OK,BGCA Thread Group 1-10,text,false,"The operation lasted too long: It took 4,085 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96339,422,8,8,https://www.bgca.org/about-us,3803,0,0
1674561175434,4804,About Us,200,OK,BGCA Thread Group 1-7,text,false,"The operation lasted too long: It took 4,804 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96339,422,6,6,https://www.bgca.org/about-us,4787,0,0
1674561176095,4423,About Us,200,OK,BGCA Thread Group 1-13,text,false,"The operation lasted too long: It took 4,423 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96339,422,5,5,https://www.bgca.org/about-us,4163,0,0
